,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,166.3930869102478,32.18490986065414,0.8402162392934164,0.11508919487305293,0.6,0,0.6,"{'colsample_bytree': 0.6, 'gamma': 0, 'subsample': 0.6}",0.9239627970393456,0.9237418129580482,0.9244235592023569,0.9240427230665835,0.0002840018929276811,49
1,177.7772057056427,1.4014986847133544,0.9367454846700033,0.005455063621328837,0.6,0,0.7,"{'colsample_bytree': 0.6, 'gamma': 0, 'subsample': 0.7}",0.9244253992987924,0.9246913880840496,0.9262983613742056,0.925138382919016,0.0008273854486066078,38
2,165.72127771377563,0.6381285414110518,0.8768604596455892,0.02574935131954575,0.6,0,0.8,"{'colsample_bytree': 0.6, 'gamma': 0, 'subsample': 0.8}",0.9238410596026491,0.9251783496871272,0.9255192228092814,0.9248462106996859,0.0007242445108560008,44
3,154.2721316019694,2.361233326165174,0.8893651167551676,0.03656644601532099,0.6,0,0.9,"{'colsample_bytree': 0.6, 'gamma': 0, 'subsample': 0.9}",0.9252045188936502,0.9258844440115896,0.9269070633780526,0.9259986754277642,0.0006997385429207174,21
4,143.00774415334067,3.9405907957816435,0.8572052319844564,0.09388343849343919,0.6,0,1.0,"{'colsample_bytree': 0.6, 'gamma': 0, 'subsample': 1.0}",0.9259105960264901,0.9243748630420492,0.926030532492513,0.9254386638536841,0.0007538126708481399,35
5,187.68076054255167,1.4762449845553682,0.8048674265543619,0.08962560468021284,0.6,0.3,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.3, 'subsample': 0.6}",0.9212115309700039,0.9232305032748168,0.9251296535268194,0.9231905625905467,0.0015998161428221898,50
6,148.02339887619019,5.485748043992259,0.6751484870910645,0.02734361625509889,0.6,0.3,0.7,"{'colsample_bytree': 0.6, 'gamma': 0.3, 'subsample': 0.7}",0.9237436696532918,0.9255435708894354,0.9247644323245112,0.9246838909557461,0.0007370103115650089,48
7,130.69601941108704,1.018745197694867,0.6548745632171631,0.030824869312293092,0.6,0.3,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.3, 'subsample': 0.8}",0.9244497467861317,0.9253487862482044,0.9255922670497432,0.9251302666946931,0.0004913594981550731,39
8,122.21479932467143,1.9324434924007319,0.6930996576944987,0.021129523480463045,0.6,0.3,0.9,"{'colsample_bytree': 0.6, 'gamma': 0.3, 'subsample': 0.9}",0.924790611608882,0.9257140074505126,0.9254948747291276,0.9253331645961741,0.00039393535460365394,36
9,110.48880418141682,0.7402435609200541,0.6741382280985514,0.0026435899809951237,0.6,0.3,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.3, 'subsample': 1.0}",0.9246201791975068,0.9255192228092814,0.9262496652138978,0.9254630224068953,0.0006664208046596038,34
10,166.38904770215353,0.9472001303427293,0.6488801638285319,0.022163479532930668,0.7,0,0.6,"{'colsample_bytree': 0.7, 'gamma': 0, 'subsample': 0.6}",0.9227210751850409,0.925616615129897,0.9257140074505126,0.9246838992551503,0.0013884956040451347,47
11,158.91342782974243,2.0658794985024542,0.6983362038930258,0.037740036869792194,0.7,0,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'subsample': 0.7}",0.925034086482275,0.9253244381680504,0.926444449855129,0.9256009915018181,0.0006080803240173192,33
12,147.2268693447113,0.542260095540231,0.6544888019561768,0.019613903536466748,0.7,0,0.8,"{'colsample_bytree': 0.7, 'gamma': 0, 'subsample': 0.8}",0.9256427736657576,0.9263714056146672,0.9251783496871272,0.925730842989184,0.0004910280140387063,32
13,140.42023293177286,4.535520104113859,0.7366867065429688,0.09310286760564458,0.7,0,0.9,"{'colsample_bytree': 0.7, 'gamma': 0, 'subsample': 0.9}",0.9253992987923646,0.9261766209734362,0.9269801076185142,0.9261853424614385,0.0006453919659002464,17
14,126.39857467015584,2.1577190468570255,0.6596064567565918,0.043625360371007095,0.7,0,1.0,"{'colsample_bytree': 0.7, 'gamma': 0, 'subsample': 1.0}",0.926300155823919,0.9254948747291276,0.9254948747291276,0.9257633017607247,0.0003796131485922116,30
15,170.37107094128928,5.889064632744273,0.6792402267456055,0.012895563287560198,0.7,0.3,0.6,"{'colsample_bytree': 0.7, 'gamma': 0.3, 'subsample': 0.6}",0.9238167121153097,0.925811399771128,0.9247644323245112,0.924797514736983,0.0008146637529597631,45
16,157.4735505580902,0.37496773290980473,0.6595573425292969,0.010801943023926355,0.7,0.3,0.7,"{'colsample_bytree': 0.7, 'gamma': 0.3, 'subsample': 0.7}",0.9240114920140241,0.9258844440115896,0.925811399771128,0.9252357785989139,0.0008662147911929009,37
17,148.8840401172638,2.1878890710987084,0.6970853010813395,0.058722197004375074,0.7,0.3,0.8,"{'colsample_bytree': 0.7, 'gamma': 0.3, 'subsample': 0.8}",0.924401051811453,0.926444449855129,0.9264931460154366,0.9257795492273395,0.0009749475791759308,28
18,135.86918584505716,0.1655735791268723,0.6671461264292399,0.014059017038941659,0.7,0.3,0.9,"{'colsample_bytree': 0.7, 'gamma': 0.3, 'subsample': 0.9}",0.9256184261784184,0.9263227094543596,0.9261279248131284,0.9260230201486355,0.0002969371141806522,19
19,125.08008162180583,1.1172514833198375,0.6855004628499349,0.028732522559785287,0.7,0.3,1.0,"{'colsample_bytree': 0.7, 'gamma': 0.3, 'subsample': 1.0}",0.9260079859758473,0.9242287745611258,0.9274670692215918,0.9259012765861883,0.0013241798083799348,25
