,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,130.04922914505005,7.9530522794878395,1.1505101521809895,0.10638538015653343,3,1,"{'max_depth': 3, 'min_child_weight': 1}",0.896596221269965,0.8973971902315503,0.8991502520026295,0.8977145545013817,0.0010665546729767973,11
1,115.20990355809529,8.058122407813853,1.0338440736134846,0.10937528575529733,3,3,"{'max_depth': 3, 'min_child_weight': 3}",0.8968153486560188,0.9006354848920163,0.8976893671933968,0.8983800669138106,0.001634250040687401,10
2,108.09220949808757,1.4954554103539837,0.962025006612142,0.03491129984241194,3,5,"{'max_depth': 3, 'min_child_weight': 5}",0.8973022984028048,0.8971537094300115,0.8982250249567821,0.8975603442631995,0.0004738987156380402,12
3,162.7646405696869,2.0381258709171832,0.9893812338511149,0.1525837492686699,5,1,"{'max_depth': 5, 'min_child_weight': 1}",0.9151490066225165,0.9145869348201894,0.9150495483431131,0.9149284965952731,0.0002449099453325427,7
4,137.35882957776388,4.661815826173731,0.855431874593099,0.058459543591837186,5,3,"{'max_depth': 5, 'min_child_weight': 3}",0.9135420724581224,0.9127608288086484,0.9127121326483407,0.9130050113050371,0.00038027958190615447,8
5,120.45929272969563,7.865254932995134,0.7064227263132731,0.1115741493306572,5,5,"{'max_depth': 5, 'min_child_weight': 5}",0.9108638488507986,0.9124929999269558,0.9135156192934187,0.912290822690391,0.0010919793485004243,9
6,140.92209060986838,2.5025789382044246,0.6494324207305908,0.025708144106318307,7,1,"{'max_depth': 7, 'min_child_weight': 1}",0.9217958706661472,0.9219157069465073,0.9228652820725086,0.922192286561721,0.00047838784939824617,3
7,138.4476030667623,1.5939082418466273,0.653500477472941,0.023228200733422154,7,3,"{'max_depth': 7, 'min_child_weight': 3}",0.9202863264511102,0.9210391760609676,0.9204304740571206,0.9205853255230662,0.0003262717335235894,5
8,138.96114174524942,1.0182101755729556,0.6715059280395508,0.025048551693712066,7,5,"{'max_depth': 7, 'min_child_weight': 5}",0.9181924425399299,0.918726108446349,0.9192374181295805,0.9187186563719533,0.0004266420402796567,6
9,175.4208575884501,4.9466756137925545,0.6502475738525391,0.033487543555472024,9,1,"{'max_depth': 9, 'min_child_weight': 1}",0.9248880015582391,0.9263227094543596,0.9260548805726668,0.9257551971950885,0.0006228719942840807,1
10,161.15364940961203,10.025341281171682,0.6198295752207438,0.012424342110712644,9,3,"{'max_depth': 9, 'min_child_weight': 3}",0.9231349824698091,0.9229383263129702,0.9239365975992793,0.9233366354606862,0.0004317671724548892,2
11,149.0208625793457,3.529943100980868,0.6273949146270752,0.0230910641293805,9,5,"{'max_depth': 9, 'min_child_weight': 5}",0.9205784962991819,0.9216965742251223,0.9219157069465073,0.9213969258236038,0.0005855908424998571,4
